2024-03-28 19:50:40.563 | WARNING  | qlib.tests.data:qlib_data:175 - Data already exists: ~/.qlib/qlib_data/cn_data, the data download will be skipped
[3414733:MainThread](2024-03-28 19:55:25,309) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3414733:MainThread](2024-03-28 19:55:29,775) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 19:55:40,297) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 19:55:43,973) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 19:57:16,860) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3414733:MainThread](2024-03-28 19:57:19,325) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 19:57:25,393) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 19:57:29,064) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 19:59:51,983) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3414733:MainThread](2024-03-28 19:59:55,348) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 9
[3414733:MainThread](2024-03-28 19:59:55,414) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done

train tasks:   5%|▍         | 2/44 [09:14<3:13:35, 276.55s/it][3414733:MainThread](2024-03-28 19:59:55,424) INFO - qlib.workflow - [exp.py:258] - Experiment 9 starts running ...
[3414733:MainThread](2024-03-28 19:59:55,440) INFO - qlib.workflow - [recorder.py:341] - Recorder 1060e08e11c54c008ec2c7e0f112858b starts running under Experiment 9 ...
[3414733:MainThread](2024-03-28 19:59:55,709) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3414733:MainThread](2024-03-28 19:59:56,466) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
